,Const,Age_0_24,Age_25_44,Age_45_64,L_Threaten,Hospitalized,X_Stay,Recovered,Num_Days,CUR_ILL,Population
KY,1,0.12284577993813522,0.19973486522315512,0.44984533804684046,0.013256738842244807,0.38135218736190896,0.0006628369421122404,0.18868758285461776,140.76337751595483,0.16106937693327442,4505836
LA,1,0.3315824031516743,0.24097176625082076,0.35128036769533816,0.026263952724885097,0.06369008535784636,0.0,0.23571897570584374,31.58151382823872,0.1103086014445174,4657757
MA,1,0.16463689670726206,0.305517967222974,0.43467147797323713,0.01473462637197414,0.040445045857765746,0.0006014133213050669,0.2802586077281612,36.335009217362156,0.11547135769057285,7029917
MD,1,0.17643004824259131,0.27291523087525843,0.44130484723179414,0.01677004364805881,0.052147943946703426,0.00022972662531587412,0.2724557776246267,31.136057941024315,0.21042958878934068,6154913
ME,1,0.25258141382049243,0.22716441620333597,0.39396346306592533,0.021445591739475776,0.0659253375694996,0.0,0.3161239078633836,29.52836879432624,0.10246227164416204,1362359
MI,1,0.09477537437603993,0.15221297836938436,0.4484525790349418,0.015773710482529117,0.5714475873544094,0.0004658901830282862,0.28199667221297836,153.72944921118184,0.09071547420965058,10077331
MN,1,0.1540216771249287,0.20664575014261266,0.40758699372504276,0.010981175128351398,0.34041642897889335,0.0011409013120365088,0.22147746719908729,122.93858338314405,0.10981175128351398,5706494
MO,1,0.14637952559300874,0.21566791510611735,0.46504369538077406,0.02153558052434457,0.18508114856429464,0.0012484394506866417,0.3292759051186018,64.09118541033435,0.12671660424469414,6177224
MS,1,0.15203021718602455,0.2190745986779981,0.48158640226628896,0.024551463644948063,0.05099150141643059,0.0009442870632672333,0.2577903682719547,27.546858908341914,0.1369216241737488,2961279
MT,1,0.14662447257383968,0.17616033755274263,0.4757383966244726,0.012658227848101266,0.3639240506329114,0.0010548523206751054,0.4620253164556962,103.47315436241611,0.17932489451476794,1084225
NC,1,0.17643622200584225,0.24712755598831548,0.4664070107108082,0.020253164556962026,0.06971762414800389,0.00038948393378773126,0.3250243427458617,38.78346456692913,0.13690360272638755,10439388
ND,1,0.23109243697478993,0.27521008403361347,0.38235294117647056,0.0273109243697479,0.17016806722689076,0.0,0.32563025210084034,21.633928571428573,0.11764705882352941,779094
NE,1,0.21003584229390682,0.2903225806451613,0.37777777777777777,0.015770609318996417,0.03727598566308244,0.0,0.2086021505376344,15.474601971190296,0.08315412186379928,1961504
NH,1,0.18201284796573874,0.21199143468950749,0.5003568879371877,0.014275517487508922,0.04568165596002855,0.0,0.3947180585296217,35.8487460815047,0.12348322626695217,1377529
NJ,1,0.2288780222765553,0.25876120619396903,0.41361043194784025,0.014669926650366748,0.06411301276826949,0.00013583265417006248,0.24517794077696278,35.874877008855364,0.11342026623200217,9288994
NM,1,0.23105823418910457,0.2498434564809017,0.4207889793362555,0.019411396368190358,0.028177833437695678,0.0012523481527864746,0.2636192861615529,24.724795640326974,0.1289918597370069,2117522
NV,1,0.17815774958632102,0.23110865968008826,0.4749034749034749,0.02040816326530612,0.053502482073910645,0.0,0.3033645890788748,26.883037354562155,0.11583011583011583,3104614
NY,1,0.15335383592386334,0.32798603607347687,0.41343196741750476,0.017205552323165157,0.056271299143878316,0.000166237220513673,0.3640595129249439,30.693735280263777,0.113373784390325,20201249
OH,1,0.22234482758620688,0.21848275862068967,0.42937931034482757,0.017655172413793104,0.1056551724137931,0.0005517241379310345,0.28027586206896554,42.382384532760476,0.11862068965517242,11799448
